what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1370344876336
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1370344876367
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1370344879868
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1370344882832
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1370344891396
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370344893829
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370344896799
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370344901813
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370344941169
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370344945761
opened,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1370344949240
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1370344949271
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370344960964
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1370344963288
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370345023597
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345027301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345028736
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345033312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345036198
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370345038249
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370345044012
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345050978
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345053338
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370345053354
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370345057650
